通し番号	作業番号	作業ファイル	申込番号	店舗種別	施設名称	施設所在地	施設ホームページURL
12390	12400	1	59930981	スナック	ちょこっと	〒5810085 大阪府 八尾市安中町４丁目４－９	
25501	1726	職	50768304	居酒屋	赤とんぼ	〒557-0002 大阪府 大阪市西成区 太子1-15-1	
12185	12195	1	98857714	イタリア料理	イルピノーロ梅田	〒530-0001 大阪府 大阪市北区 梅田2－2－2ヒルトンプラザウエスト５Ｆ	
23669	23691	1	76526923	中華料理	ミンミン地下鉄我孫子店	〒558-0011 大阪府 住吉区 苅田7-9-8	
27325	3550	職	56397713	居酒屋	磯銀	〒541-0046 大阪府 大阪市中央区 平野町４丁目８－５ １Ｆ	
5225	5232	1	55870217	和食	居酒屋ばす亭	〒579-8058 大阪府 東大阪市 神田町5-10フォーシーズンズコートビルB1	
33913	6356	2	41526899	カレー屋	カレーハウスCOCO壱番屋　十三駅西口店	〒532-0024 大阪府 大阪市淀川区 十三本町1-10-18	
33567	6010	2	99958022	BAR	バーチタチタ	〒550-0012 大阪府 大阪市西区立売堀1丁目7番2号	https://www.craft-ism.com/barcitacita/
46779	316	6	55533684	BAR	U.N.逢縁Osaka	〒542-0083 大阪府 大阪市中央区 東心斎橋2-2-7 タワーエステートビル9B	https://owenosaka.com/
45610	776	4	17670135	寿司屋	おらんく家本通3号店	〒530-0002 大阪府 大阪市北区 曽根崎新地1-6-15ニューセントラルビル1F	http://www.mark-corp.co.jp/orankuya/contact.php#nishiten
29766	2204	2	90364054	その他	中央電気倶楽部事業所	〒530-0004 大阪府 大阪市北区 堂島浜2-1-25	
45116	280	4	70502493	カフェ・喫茶店	遊	〒572-0816 大阪府 寝屋川市 河北中町８－３０	
42294	560	3	31048964	イタリア料理	A LA CIVETTE	〒541-0051 大阪府 大阪市中央区 備後町１丁目４-１３	https://www.a-la-civette.com/
33085	5528	2	66416607	和食	炙り牛たん万りんくう泉南	〒590-0535 大阪府 泉南市 りんくう南浜	
18982	19002	1	84275157	ラーメン	味千拉麺OMM店	〒540-0008 大阪府 大阪市中央区 大手前7-31OMMビルB2	http://www.aji1000.co.jp/
7823	7831	1	97564840	居酒屋	しゃかりき432゛新福島店	〒553-0003 大阪府 大阪市福島区 福島3-6-15	
9847	9855	1	43323013	居酒屋	とまり木432゛	〒553-0003 大阪府 大阪市福島区 福島2-6-8	
9837	9845	1	35352067	居酒屋	しゃかりき432゛堂山店	〒530-0027 大阪府 大阪市北区 堂山町10-15	
19075	19095	1	38579598	居酒屋	とつぁん京橋店	〒534-0023 大阪府 大阪市都島区 都島南通２丁目５番１７号	https://tabelog.com/osaka/A2701/A270107/27012742/
26072	2297	職	59280578	中華料理	餃子の王将日本橋でんでんタウン店	〒556-0005 大阪府 大阪市浪速区 日本橋５丁目１８番２５号アリタビル１階	https://www.osho.co.jp
33341	5784	2	36950312	アジア料理	全州味家	〒544-0031 大阪府 大阪市生野区 鶴橋２丁目３番５号	
